video_id,video_title,num_collaborators,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,link
wORaslTmU24,PEGUE PNEU E MONTE A BIKE,0,,,,,,https://www.youtube.com/watch?v=wORaslTmU24
zIHWUdhmu0A,The Beauty of Israel,0,,,,,,https://www.youtube.com/watch?v=zIHWUdhmu0A
yHXtA0hlelU,Capturing EVERY PAL in Palworld,0,,,,,,https://www.youtube.com/watch?v=yHXtA0hlelU
LIWOdLetMhM,NEW WEEKLY UPDATE IN WARZONE!!,0,,,,,,https://www.youtube.com/watch?v=LIWOdLetMhM
X53VEl2To1c,GTA V : IRON MAN SAVING SPIDERMAN FROM HULK,0,,,,,,https://www.youtube.com/watch?v=X53VEl2To1c
tM4Mhv0MI0Y,Best Player Tries Extreme Grief Challenge! #shorts,2,MrBeast,KaiGuy,,,,https://www.youtube.com/watch?v=tM4Mhv0MI0Y
_h7LFcux8_o,MEU PRIMEIRO DIA COMO AGENTE #shorts,0,,,,,,https://www.youtube.com/watch?v=_h7LFcux8_o
-RTdVzAG0jM,NEW Slammer + Medic TDX Update.. | ROBLOX,0,,,,,,https://www.youtube.com/watch?v=-RTdVzAG0jM
UV8vree6obQ,😆 Momentos Divertidos de CALL OF DUTY #Nubi4Fiki® Bebé Miedoso #Bebekis #4Fiki® 7,0,,,,,,https://www.youtube.com/watch?v=UV8vree6obQ
znOBZoCBvVY,This Loadout Is Broken,0,,,,,,https://www.youtube.com/watch?v=znOBZoCBvVY
NVbnmE_ZXCc,MONDO PER SOLI RAGAZZI CONTRO MONDO PER SOLE RAGAZZE SU ROBLOX!,0,,,,,,https://www.youtube.com/watch?v=NVbnmE_ZXCc
Zk5VwiK01Hk,Minecraft zombie 1v2,0,,,,,,https://www.youtube.com/watch?v=Zk5VwiK01Hk
d-oEX7R2uQE,Clown and mirror Love and Choices,0,,,,,,https://www.youtube.com/watch?v=d-oEX7R2uQE
zdyMN7Llkjc,RIP INDRA ATE A STRANGE DEVIL FRUIT THAT SPLIT HIM IN 5! In Blox Fruits! #shorts,2,Dave,Silver,,,,https://www.youtube.com/watch?v=zdyMN7Llkjc
knSVjR_WBnM,Crewmates vs FNAF ANIMATRONICS  (HUGGY WUGGY vs CHICA),1,JoblessGarrett,,,,,https://www.youtube.com/watch?v=knSVjR_WBnM
hlb9TYg6cu4,BARRY,0,,,,,,https://www.youtube.com/watch?v=hlb9TYg6cu4
